title,date,viewers,network,title_clean,viewers_millions,year
"2023 FIFA Women's World Cup semi-final, Australia vs England",,7.13 million,"Seven Network, Optus Sport","2023 fifa women's world cup semi-final, australia vs england",7.13,
Wedding of Prince William and Catherine Middleton,,6.0 million,"ABC, Network 7, Network 9, Network Ten, 7Two",wedding of prince william and catherine middleton,6.0,
"2023 FIFA Women's World Cup quarter-final, Australia vs France",,4.17 million,"Seven Network, Optus Sport","2023 fifa women's world cup quarter-final, australia vs france",4.17,
Wedding of Prince Harry and Meghan Markle,,4.09 Million,"Seven Network, Nine Network, ABC, SBS, BBC UKTV, Sky News Live",wedding of prince harry and meghan markle,4.09,
2005 Australian Open – Men's singles final,,4.043 Million,Seven Network,2005 australian open – men's singles final,4.043,
MasterChef Australia (season 2) – finale challenge,,4.029 Million,Network Ten,masterchef australia (season 2) – finale challenge,4.029,
2003 Rugby World Cup final,,4.016 Million,Seven Network,2003 rugby world cup final,4.016,
MasterChef Australia (season 1) – finale challenge,,3.726 Million,Network Ten,masterchef australia (season 1) – finale challenge,3.726,
2006 Commonwealth Games opening ceremony,,3.561 Million,Nine Network,2006 commonwealth games opening ceremony,3.561,
2005 AFL Grand Final (Sydney Swans v West Coast Eagles),,3.386 Million,Network Ten,2005 afl grand final (sydney swans v west coast eagles),3.386,
Krøniken - Episode 10,2004,2714000,DR1,krøniken - episode 10,2.714,2004.0
Eurovision Song Contest 2001,2001,2667000,DR1,eurovision song contest 2001,2.667,2001.0
The Last Exploits of the Olsen Gang,1995,2658000,TV2,the last exploits of the olsen gang,2.658,1995.0
UEFA Euro 1992 semi-final: Denmark vs Netherlands,1992,2657000,TV2,uefa euro 1992 semi-final: denmark vs netherlands,2.657,1992.0
UEFA Euro 1992 final: Denmark vs Germany,1992,2632000,TV2,uefa euro 1992 final: denmark vs germany,2.632,1992.0
1994 FIFA World Cup qualification: Denmark vs Spain,1993,2547000,DR1,1994 fifa world cup qualification: denmark vs spain,2.547,1993.0
Dansk Melodi Grand Prix 1992,1992,2506000,DR1,dansk melodi grand prix 1992,2.506,1992.0
The Girl and the Press Photographer,1992,2422000,TV2,the girl and the press photographer,2.422,1992.0
1998 FIFA World Cup quarter-final: Denmark vs Brazil,1998,2390000,DR1,1998 fifa world cup quarter-final: denmark vs brazil,2.39,1998.0
UEFA Euro 2012 Group Stage: Denmark vs Germany,2012,2378000,DR1,uefa euro 2012 group stage: denmark vs germany,2.378,2012.0
Speech of the French President Emmanuel Macron in response to the COVID-19 pandemic,13 April 2020,36730000,"TF1, France 2, France 3, Canal+, M6, C8, TMC, BFMTV, CNews, LCI, franceinfo",speech of the french president emmanuel macron in response to the covid-19 pandemic,36.73,2020.0
Speech of the French President Emmanuel Macron in response to the COVID-19 pandemic,16 March 2020,35300000,"TF1, France 2, France 3, M6, C8, TMC, BFMTV, CNews, LCI, franceinfo, L'Équipe",speech of the french president emmanuel macron in response to the covid-19 pandemic,35.3,2020.0
Speech of the French President Emmanuel Macron in response to the COVID-19 pandemic,28 October 2020,32700000,"TF1, France 2, France 3, M6, C8, TMC, BFMTV, CNews, LCI, franceinfo, L'Équipe",speech of the french president emmanuel macron in response to the covid-19 pandemic,32.7,2020.0
2018 FIFA World Cup final: France vs Croatia,15 July 2018,26200000,"TF1, beIN Sports",2018 fifa world cup final: france vs croatia,26.2,2018.0
